id,code,name
855,8103,瀚荃
856,8104,錸寶
857,8105,凌巨
858,8110,華東
859,8112,至上
860,8114,振樺電
861,8131,福懋科
862,8150,南茂
863,8163,達方
864,8201,無敵
865,8210,勤誠
866,8213,志超
867,8215,明基材
868,8222,寶一
869,8249,菱光
870,8261,富鼎
871,8271,宇瞻
872,8341,日友
873,8367,建新國際
874,8374,羅昇
875,8404,百和興業-KY
876,8411,福貞-KY
877,8422,可寧衛
878,8427,基勝-KY
879,8429,金麗-KY
880,8442,威宏-KY
881,8443,阿瘦
882,8454,富邦媒
883,8462,柏文
884,8463,潤泰材
885,8464,億豐
886,8466,美吉吉-KY
887,8467,波力-KY
888,8473,山林水
889,8478,東哥遊艇
890,8480,泰昇-KY
891,8481,政伸
892,8482,商億-KY
893,8488,吉源-KY
894,8497,格威傳媒
895,8499,鼎炫-KY
896,8926,台汽電
897,8940,新天地
898,8996,高力
899,9802,鈺齊-KY
900,9902,台火
901,9904,寶成
902,9905,大華
903,9906,欣巴巴
904,9907,統一實
905,9908,大台北
906,9910,豐泰
907,9911,櫻花
908,9912,偉聯
909,9914,美利達
910,9917,中保
911,9918,欣天然
912,9919,康那香
913,9921,巨大
914,9924,福興
915,9925,新保
916,9926,新海
917,9927,泰銘
918,9928,中視
919,9929,秋雨
920,9930,中聯資源
921,9931,欣高
922,9933,中鼎
923,9934,成霖
924,9935,慶豐富
925,9937,全國
926,9938,百和
927,9939,宏全
928,9940,信義
929,9941,裕融
930,9942,茂順
931,9943,好樂迪
932,9944,新麗
933,9945,潤泰新
934,9946,三發地產
935,9955,佳龍
936,9958,世紀鋼
937,020001,富邦存股雙十N
938,020003,統一漲升股利150N
939,020009,群益A50綠碳N
940,020010,永昌富櫃200N
941,1101B,台泥乙特
942,1312A,國喬特
943,2002A,中鋼特
944,2838A,聯邦銀甲特
945,2881A,富邦特
946,2881B,富邦金乙特
947,2882A,國泰特
948,2882B,國泰金乙特
949,2887E,台新戊特
950,2887F,台新戊特二
951,2888A,新光金甲特
952,2891B,中信金乙特
953,2891C,中信金丙特
954,2897A,王道銀甲特
955,3702A,大聯大甲特
956,9941A,裕融甲特
957,0050,元大台灣50
958,0051,元大中型100
959,0052,富邦科技
960,0053,元大電子
961,0054,元大台商50
962,0055,元大MSCI金融
963,0056,元大高股息
964,0057,富邦摩台
965,0058,富邦發達
966,0059,富邦金融
967,0061,元大寶滬深
968,006203,元大MSCI台灣
969,006204,永豐臺灣加權
970,006205,富邦上証
971,006206,元大上證50
972,006207,FH滬深
973,006208,富邦台50
974,00625K,富邦上証+R
975,00631L,元大台灣50正2
976,00632R,元大台灣50反1
977,00633L,富邦上証正2
978,00634R,富邦上証反1
979,00635U,元大S&P黃金
980,00636,國泰中國A50
981,00636K,國泰中國A50+U
982,00637L,元大滬深300正2
983,00638R,元大滬深300反1
984,00639,富邦深100
985,00640L,富邦日本正2
986,00641R,富邦日本反1
987,00642U,元大S&P石油
988,00643,群益深証中小
989,00643K,群益深証中小+R
990,00645,富邦日本
991,00646,元大S&P500
992,00647L,元大S&P500正2
993,00648R,元大S&P500反1
994,00649,FH香港
995,00650L,FH香港正2
996,00651R,FH香港反1
997,00652,富邦印度
998,00653L,富邦印度正2
999,00654R,富邦印度反1
1000,00655L,國泰中國A50正2
1001,00656R,國泰中國A50反1
1002,00657,國泰日經225
1003,00657K,國泰日經225+U
1004,00658L,國泰日本正2
1005,00659R,國泰日本反1
1006,00660,元大歐洲50
1007,00661,元大日經225
1008,00662,富邦NASDAQ
1009,00663L,國泰臺灣加權正2
1010,00664R,國泰臺灣加權反1
1011,00665L,富邦恒生國企正2
1012,00666R,富邦恒生國企反1
1013,00668,國泰美國道瓊
1014,00668K,國泰美國道瓊+U
1015,00669R,國泰美國道瓊反1
1016,00670L,富邦NASDAQ正2
1017,00671R,富邦NASDAQ反1
1018,00672L,元大S&P原油正2
1019,00673R,元大S&P原油反1
1020,00674R,元大S&P黃金反1
1021,00675L,富邦臺灣加權正2
1022,00676R,富邦臺灣加權反1
1023,00677U,富邦VIX
1024,00678,群益NBI生技
1025,00680L,元大美債20正2
1026,00681R,元大美債20反1
1027,00682U,元大美元指數
1028,00683L,元大美元指數正2
1029,00684R,元大美元指數反1
1030,00685L,群益臺灣加權正2
1031,00686R,群益臺灣加權反1
1032,00688L,國泰20年美債正2
1033,00689R,國泰20年美債反1
1034,00690,兆豐藍籌30
1035,00691R,兆豐藍籌30反一
1036,00692,富邦公司治理
1037,00693U,華頓S&P黃豆
1038,00700,富邦恆生國企
1039,00701,國泰股利精選30
1040,00702,國泰標普低波高息
1041,00703,台新MSCI中國
1042,00706L,元大S&P日圓正2
1043,00707R,元大S&P日圓反1
1044,00708L,元大S&P黃金正2
1045,00709,富邦歐洲
1046,00710B,FH彭博高收益債
1047,00711B,FH彭博新興債
1048,00712,FH富時不動產
1049,00713,元大台灣高息低波
1050,00714,群益道瓊美國地產
1051,00715L,華頓S&P布蘭特正2
1052,00717,富邦美國特別股
1053,00728,第一金工業30
1054,00730,富邦臺灣優質高息
1055,00731,FH富時高息低波
1056,00732,國泰RMB短期報酬
1057,00733,富邦臺灣中小
1058,00735,國泰臺韓科技
1059,00736,國泰新興市場
1060,00737,國泰AI+ROBO
1061,00738U,元大道瓊白銀
1062,00739,元大MSCI A股
1063,00742,新光內需收益
1064,00743,國泰中國A150
1065,00752,中信中國50
1066,00753L,中信中國50正2
1067,00757,統一FANG+
1068,00762,元大全球AI
1069,00763U,國票道瓊銅
1070,00766L,台新MSCI中國正2
1071,00767,FH美國金融股
1072,00770,國泰北美科技
1073,00771,元大US高息特別股
1074,00774B,新光中國政金綠債
1075,00774C,新光中政金綠債+R
1076,00775B,新光投等債15+
1077,00776,新光ICE美國權值
1078,00783,富邦中証500
1079,008201,BP上證50
1080,00830,國泰費城半導體
1081,00850,元大臺灣ESG永續
1082,00851,台新全球AI
1083,00852L,國泰美國道瓊正2
1084,020000,富邦特選蘋果N
1085,020002,元富新中國N
1086,020004,兆豐電菁英30N
1087,020005,永豐外資50N
1088,020006,永昌中小300N
1089,020007,凱基臺灣500N
1090,020008,元大特股高息N
1091,9103,美德醫療-DR
1092,910322,康師傅-DR
1093,910482,聖馬丁-DR
1094,9105,泰金寶-DR
1095,910861,神州-DR
1096,9110,越南控-DR
1097,911608,明輝-DR
1098,911616,杜康-DR
1099,911622,泰聚亨-DR
1100,911868,同方友友-DR
1101,912000,晨訊科-DR
1102,912398,友佳-DR
1103,9136,巨騰-DR
1104,9157,陽光能源-DR
1105,9188,精熙-DR
1106,01001T,土銀富邦R1
1107,01002T,土銀國泰R1
1108,01003T,兆豐新光R1
1109,01004T,土銀富邦R2
1110,01007T,兆豐國泰R2
1111,01009T,王道圓滿R1
1112,01010T,京城樂富R1
